Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-17, 14, -5]","[-18, 19, 3]","[-5, 9, 12]","[-8, 4, 1]","[-15, 13, -3]","[-26, 22, -21]","[-33, 7, -30]","[-20, 6, -2]",Resting_Position
"[-12, 11, -8]","[-19, 22, 1]","[-2, 8, 9]","[-8, 7, 3]","[-17, 15, -2]","[-27, 24, -32]","[-33, 4, -31]","[-18, 8, -3]",Resting_Position
"[-13, 9, -6]","[-17, 19, 5]","[-4, 10, 13]","[-4, 6, 3]","[-17, 14, 0]","[-28, 24, -28]","[-34, 6, -24]","[-25, 9, -6]",Resting_Position
"[-15, 10, -4]","[-16, 23, 3]","[-2, 11, 11]","[-5, 9, 8]","[-13, 13, -1]","[-27, 21, -31]","[-31, 6, -30]","[-18, 6, -3]",Resting_Position
"[-11, 9, -7]","[-14, 20, 6]","[-5, 13, 15]","[-5, 11, -1]","[-20, 14, 0]","[-25, 29, -34]","[-31, 7, -24]","[-18, 9, -2]",Resting_Position
"[-14, 10, -5]","[-13, 21, 3]","[-2, 12, 8]","[-7, 6, 7]","[-18, 15, -2]","[-28, 25, -32]","[-35, 3, -26]","[-21, 7, 6]",Resting_Position
"[-14, 6, -7]","[-17, 19, -1]","[-4, 12, 11]","[-7, 5, 2]","[-16, 17, 0]","[-29, 25, -28]","[-32, 7, -20]","[-17, 8, -4]",Resting_Position
"[-12, 12, -3]","[-15, 20, -2]","[-3, 11, 12]","[-2, 8, 1]","[-17, 15, 2]","[-24, 28, -25]","[-29, 11, -18]","[-15, 9, 0]",Resting_Position
"[-14, 10, -8]","[-20, 20, 0]","[-2, 9, 9]","[-6, 7, 3]","[-13, 12, 0]","[-29, 26, -24]","[-33, 9, -18]","[-15, 10, 0]",Resting_Position
"[-12, 9, -5]","[-16, 22, -4]","[-6, 10, 8]","[-6, 11, 3]","[-20, 10, 4]","[-29, 24, -27]","[-33, 10, -21]","[-16, 6, 2]",Resting_Position
"[-17, 8, -9]","[-19, 22, 0]","[-3, 15, 9]","[-5, 9, 2]","[-17, 14, 2]","[-28, 25, -21]","[-34, 10, -25]","[-19, 6, 3]",Position_4
"[-13, 10, -7]","[-13, 20, 2]","[0, 11, 11]","[-9, 9, 2]","[-16, 16, 0]","[-25, 25, -26]","[-32, 7, -15]","[-15, 7, 4]",Position_4
