Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-44, 2, -15]","[-41, 40, -42]","[-15, 23, -8]","[-22, 10, -2]","[-19, -18, -29]","[-12, -36, -31]","[-5, -33, -3]","[-13, -16, -8]",Evan_001_002
"[-43, 1, -17]","[-36, 38, -40]","[-12, 20, -5]","[-23, 8, 1]","[-19, -17, -30]","[-13, -38, -27]","[-4, -30, 4]","[-9, -17, -13]",Evan_001_002
"[-42, 3, -15]","[-38, 39, -41]","[-12, 21, -7]","[-21, 6, -3]","[-20, -13, -26]","[-12, -37, -22]","[-3, -29, 5]","[-9, -18, -12]",Evan_001_002
"[-41, 1, -15]","[-37, 35, -40]","[-12, 21, -9]","[-19, 6, -2]","[-22, -14, -26]","[-13, -40, -24]","[-1, -28, 3]","[-8, -16, -11]","Position_1
"
"[-41, 1, -11]","[-36, 40, -35]","[-13, 21, -7]","[-20, 10, -1]","[-21, -17, -24]","[-11, -36, -24]","[-2, -28, 2]","[-8, -17, -5]","Position_1
"
"[-41, 3, -14]","[-37, 39, -37]","[-15, 20, -13]","[-18, 5, 2]","[-15, -16, -24]","[-11, -35, -24]","[0, -28, -1]","[-12, -17, -13]","Position_1
"
"[-42, 1, -14]","[-32, 40, -38]","[-15, 20, -5]","[-17, 6, 0]","[-20, -13, -22]","[-12, -38, -25]","[1, -27, 2]","[-9, -17, -12]","Position_1
"
"[-39, 0, -12]","[-35, 34, -38]","[-14, 19, -7]","[-20, 7, -2]","[-17, -14, -25]","[-12, -37, -24]","[1, -28, 0]","[-10, -16, -12]","Position_1
"
"[-40, 3, -17]","[-33, 35, -37]","[-13, 20, -8]","[-20, 4, 0]","[-18, -14, -31]","[-13, -35, -24]","[0, -27, 4]","[-11, -17, -12]","Position_1
"
"[-39, 0, -15]","[-36, 34, -37]","[-11, 23, -12]","[-19, 3, 4]","[-17, -14, -21]","[-10, -33, -15]","[-1, -30, 1]","[-12, -18, -13]","Position_1
"
"[-41, 3, -10]","[-36, 37, -34]","[-12, 19, -6]","[-18, 7, 2]","[-18, -14, -30]","[-7, -35, -29]","[0, -29, 4]","[-9, -17, -7]","Position_1
"
"[-40, 2, -11]","[-36, 36, -36]","[-13, 21, 0]","[-17, 4, 4]","[-21, -12, -27]","[-13, -35, -26]","[-2, -30, -4]","[-5, -17, -13]","Position_1
"
"[-41, 2, -11]","[-38, 40, -35]","[-13, 22, -3]","[-21, 8, 2]","[-16, -13, -25]","[-13, -36, -22]","[1, -29, -3]","[-11, -18, -15]","Position_1
"
"[-43, 3, -14]","[-41, 42, -34]","[-15, 20, -3]","[-21, 6, 4]","[-19, -15, -32]","[-11, -39, -25]","[0, -31, -5]","[-12, -19, -14]",Evan_001_002
"[-44, 4, -13]","[-43, 38, -35]","[-16, 23, 0]","[-21, 2, 4]","[-20, -15, -25]","[-10, -36, -24]","[-1, -32, -1]","[-9, -20, -13]",Evan_001_002
"[-44, 2, -15]","[-39, 41, -39]","[-16, 20, -4]","[-21, 8, 0]","[-20, -14, -27]","[-12, -36, -21]","[-1, -27, -3]","[-11, -20, -16]",Evan_001_002
"[-45, 4, -8]","[-37, 36, -34]","[-15, 22, -4]","[-25, 6, 3]","[-17, -15, -27]","[-11, -38, -28]","[0, -32, 2]","[-9, -19, -14]",Evan_001_002
"[-46, 0, -6]","[-40, 37, -40]","[-15, 20, -6]","[-20, 4, 0]","[-19, -12, -32]","[-12, -38, -29]","[0, -29, 4]","[-12, -18, -13]",Evan_001_002
"[-42, 0, -14]","[-41, 42, -37]","[-13, 20, -6]","[-21, 6, -3]","[-19, -13, -28]","[-11, -40, -24]","[0, -28, 4]","[-9, -17, -12]",Evan_001_002
"[-45, 1, -8]","[-40, 40, -34]","[-16, 21, -3]","[-20, 5, 6]","[-19, -14, -34]","[-11, -38, -25]","[1, -36, 0]","[-8, -16, -14]",Evan_001_002
"[-43, 0, -3]","[-43, 35, -35]","[-11, 15, -7]","[-23, 5, 4]","[-18, -12, -28]","[-11, -38, -31]","[-1, -26, -4]","[-10, -19, -12]",Evan_001_002
"[-42, -2, -7]","[-41, 33, -35]","[-14, 18, -6]","[-19, 2, 6]","[-18, -11, -29]","[-11, -38, -23]","[-3, -25, 3]","[-10, -17, -13]",Evan_001_002
"[-42, 0, 2]","[-41, 31, -29]","[-12, 18, -1]","[-16, 3, 2]","[-18, -14, -26]","[-10, -35, -27]","[-3, -24, -2]","[-8, -16, -10]",Evan_001_002
"[-42, -2, -5]","[-40, 32, -34]","[-17, 21, -2]","[-21, 3, 7]","[-19, -16, -28]","[-8, -37, -25]","[-2, -30, -7]","[-5, -17, -14]",Evan_001_002
"[-31, -7, 6]","[-40, 19, -27]","[-15, 13, -2]","[-13, -2, 0]","[-16, -10, -25]","[-14, -30, -22]","[0, -27, 1]","[-8, -15, -11]",Evan_001_002
"[-4, 1, 25]","[-12, 5, 14]","[5, 0, 7]","[4, -1, 9]","[-10, -5, -17]","[-5, -21, -16]","[2, -16, -2]","[-4, -9, -9]",Evan_001_002
"[-4, -2, 21]","[-17, -6, 12]","[-9, -5, 7]","[2, 0, 14]","[-12, -2, -13]","[-10, -12, -22]","[-9, -10, -2]","[-12, -6, -8]",Evan_001_002
"[-45, -30, -6]","[-86, -21, -90]","[-56, 10, -28]","[-33, -4, 2]","[-19, -6, -7]","[-24, -18, -11]","[-9, -17, 15]","[-11, -9, 2]",Evan_001_002
"[-49, -33, -17]","[-87, -14, -100]","[-55, 16, -34]","[-35, -8, -9]","[-17, -9, -7]","[-24, -17, -9]","[-10, -18, 13]","[-9, -12, 6]",Evan_001_002
"[-41, -31, 0]","[-94, -25, -82]","[-57, 9, -26]","[-31, -8, 2]","[-22, -6, -8]","[-25, -14, -16]","[-15, -17, 11]","[-11, -11, 1]",Evan_001_002
"[-38, -35, 0]","[-90, -30, -84]","[-55, 8, -27]","[-31, -8, 0]","[-17, -2, -11]","[-26, -16, -11]","[-10, -18, 13]","[-8, -9, 0]",Evan_001_002
"[-43, -34, -10]","[-94, -26, -99]","[-55, 14, -30]","[-34, -10, -5]","[-19, -5, -2]","[-25, -14, -12]","[-11, -18, 13]","[-9, -11, 7]",Evan_001_002
"[-41, -33, -5]","[-92, -28, -100]","[-59, 11, -35]","[-35, -8, -3]","[-18, -7, -8]","[-23, -18, -9]","[-14, -16, 18]","[-5, -10, 3]",Evan_001_002
"[-42, -38, -8]","[-100, -30, -104]","[-59, 11, -36]","[-34, -7, -6]","[-15, -9, -5]","[-21, -18, -9]","[-10, -15, 15]","[-7, -9, 2]",Evan_001_002
"[-40, -39, -9]","[-98, -36, -113]","[-63, 8, -38]","[-34, -13, -5]","[-16, -5, -7]","[-21, -17, -12]","[-9, -15, 15]","[-7, -9, 5]",Evan_001_002
"[-45, -42, -14]","[-102, -43, -120]","[-67, 11, -41]","[-38, -10, -4]","[-11, -7, -7]","[-20, -14, 1]","[-8, -12, 18]","[-8, -9, 6]",Evan_001_002
"[-42, -43, -18]","[-102, -43, -123]","[-69, 9, -44]","[-40, -9, -13]","[-11, -9, -2]","[-18, -16, 4]","[-9, -15, 16]","[-5, -11, 11]",Evan_001_002
"[-46, -42, -23]","[-100, -35, -129]","[-68, 14, -52]","[-44, -10, -17]","[-9, -7, -5]","[-19, -19, 0]","[-5, -13, 23]","[-5, -12, 10]",Evan_001_002
"[-48, -46, -18]","[-105, -37, -140]","[-72, 17, -56]","[-43, -10, -15]","[-11, -10, 7]","[-17, -19, 4]","[-2, -12, 25]","[-1, -15, 6]",Evan_001_002
"[-49, -43, -24]","[-100, -39, -140]","[-70, 19, -56]","[-43, -10, -16]","[-9, -13, -1]","[-16, -19, 9]","[-8, -15, 21]","[-1, -10, 9]",Evan_001_002
"[-48, -44, -24]","[-98, -40, -138]","[-72, 16, -56]","[-45, -12, -16]","[-11, -10, 0]","[-17, -17, 4]","[-7, -11, 20]","[-5, -9, 6]",Evan_001_002
"[-45, -46, -25]","[-97, -34, -143]","[-69, 17, -56]","[-44, -8, -17]","[-8, -8, 5]","[-17, -17, 4]","[-3, -14, 24]","[-3, -13, 6]","Position_2
"
"[-50, -42, -18]","[-105, -29, -133]","[-69, 16, -50]","[-43, -10, -12]","[-14, -8, -8]","[-23, -20, -2]","[-6, -18, 17]","[-6, -12, 3]","Position_2
"
"[-46, -45, -13]","[-96, -27, -129]","[-65, 14, -45]","[-41, -7, -9]","[-9, -7, -7]","[-20, -19, -8]","[-8, -18, 10]","[-4, -12, 2]","Position_2
"
"[-47, -43, -20]","[-96, -31, -123]","[-61, 16, -50]","[-40, -11, -15]","[-12, -8, -7]","[-21, -18, -2]","[-3, -15, 15]","[-8, -11, 4]","Position_2
"
"[-44, -46, -21]","[-96, -32, -133]","[-63, 14, -49]","[-36, -8, -21]","[-11, -9, -8]","[-22, -19, -8]","[-3, -14, 17]","[-4, -13, 5]","Position_2
"
"[-43, -44, -20]","[-95, -35, -130]","[-61, 16, -51]","[-40, -9, -16]","[-14, -4, -2]","[-17, -19, 1]","[-2, -16, 15]","[-2, -14, 6]","Position_2
"
"[-43, -46, -27]","[-87, -37, -138]","[-66, 17, -51]","[-42, -14, -17]","[-14, -10, -7]","[-17, -15, 0]","[-5, -15, 24]","[-2, -9, 6]","Position_2
"
"[-43, -48, -20]","[-93, -34, -131]","[-64, 15, -51]","[-39, -11, -16]","[-10, -8, -7]","[-18, -18, -2]","[-9, -15, 20]","[-5, -11, 1]","Position_2
"
"[-39, -44, -21]","[-91, -34, -137]","[-60, 15, -47]","[-40, -12, -17]","[-8, -9, 0]","[-16, -15, 2]","[-2, -13, 17]","[-6, -9, 10]","Position_2
"
"[-43, -47, -14]","[-93, -32, -130]","[-60, 11, -47]","[-40, -12, -12]","[-12, -7, -2]","[-21, -22, -1]","[-7, -19, 14]","[-7, -10, 7]","Position_2
"
"[-40, -39, 5]","[-89, -24, -96]","[-55, 9, -31]","[-30, -13, 1]","[-19, -8, -16]","[-26, -25, -17]","[-7, -22, 10]","[-11, -12, -8]",Evan_001_002
"[-42, -41, 3]","[-89, -27, -95]","[-54, 9, -33]","[-33, -13, -3]","[-17, -4, -16]","[-22, -24, -20]","[-10, -20, 10]","[-12, -11, -2]",Evan_001_002
"[-42, -41, 0]","[-91, -28, -104]","[-57, 13, -31]","[-30, -9, -2]","[-15, -4, -15]","[-20, -20, -18]","[-10, -21, 9]","[-14, -14, -4]",Evan_001_002
"[-40, -40, -4]","[-88, -31, -104]","[-55, 7, -31]","[-33, -12, -3]","[-16, -3, -16]","[-21, -19, -15]","[-10, -20, 4]","[-9, -13, 1]",Evan_001_002
"[-36, -40, -6]","[-81, -32, -97]","[-53, 4, -38]","[-31, -13, -6]","[-15, -5, -11]","[-19, -19, -11]","[-7, -19, 10]","[-9, -10, 3]",Evan_001_002
"[-36, -42, -15]","[-76, -38, -122]","[-60, 9, -57]","[-40, -11, -15]","[-13, -10, 0]","[-14, -19, -4]","[-4, -14, 15]","[-3, -11, 9]",Evan_001_002
"[-34, -46, -17]","[-78, -40, -122]","[-60, 12, -56]","[-39, -14, -22]","[-7, -6, 2]","[-13, -19, 4]","[-3, -17, 20]","[0, -12, 6]",Evan_001_002
"[-36, -48, -20]","[-72, -44, -129]","[-61, 10, -63]","[-38, -13, -16]","[-8, -9, 1]","[-12, -20, 2]","[-2, -17, 18]","[-3, -10, 5]",Evan_001_002
"[-30, -49, -17]","[-68, -51, -129]","[-60, 9, -56]","[-33, -12, -22]","[-9, -7, -3]","[-12, -20, 8]","[1, -16, 21]","[0, -10, 3]",Evan_001_002
"[8, -12, 2]","[-1, -27, -9]","[-10, -7, -16]","[0, -10, -2]","[-2, -4, -3]","[2, -10, -7]","[0, -10, 3]","[0, -7, -4]",Evan_001_002
"[-6, 3, -13]","[-1, 23, -8]","[2, 8, -8]","[-1, 5, -6]","[1, -8, 13]","[0, -8, 21]","[6, 0, 17]","[8, 0, 10]",Evan_001_002
"[-17, 9, -14]","[-6, 35, -15]","[3, 17, 1]","[-7, 11, -8]","[-3, -9, 20]","[-7, -15, 25]","[6, 1, 24]","[6, 0, 19]",Evan_001_002
"[-15, 10, -17]","[-7, 36, -17]","[8, 18, -6]","[-2, 10, -5]","[-4, -9, 24]","[-5, -11, 24]","[4, 1, 20]","[5, 0, 20]",Evan_001_002
"[-15, 15, -23]","[-8, 33, -14]","[3, 16, 2]","[-3, 11, -2]","[-2, -14, 28]","[-7, -11, 31]","[9, 5, 30]","[5, 0, 23]",Evan_001_002
"[-15, 11, -20]","[-7, 37, -15]","[2, 14, -1]","[-7, 11, -6]","[-3, -13, 21]","[-6, -12, 31]","[5, 6, 26]","[7, 0, 25]",Evan_001_002
