Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-5, 0, -5]","[-14, 4, -9]","[-4, 5, 3]","[-8, 3, -4]","[-5, 3, 0]","[-10, 0, -7]","[-4, -1, 0]","[-4, 0, 1]",Position_0
"[-8, 7, -5]","[2, 13, 1]","[1, 3, 4]","[-2, 2, 7]","[0, 2, 1]","[0, -4, 6]","[3, 0, 0]","[0, -2, 2]",Position_0
"[4, -9, 2]","[2, -10, -6]","[0, -2, -3]","[0, -3, -3]","[0, 2, -7]","[-2, -3, -15]","[0, -4, -9]","[-3, -5, -3]",Position_0
"[4, -4, 4]","[4, -10, -5]","[0, -7, 1]","[3, -4, 1]","[-4, 8, -8]","[0, 8, -12]","[-6, 0, -13]","[0, 5, -6]",Position_0
"[18, -2, 2]","[16, -17, 11]","[5, -7, 3]","[5, -4, 0]","[7, 6, -4]","[8, 12, -5]","[-1, 2, -8]","[5, 4, -8]",Position_0
"[-5, 0, -8]","[-8, 9, -7]","[-1, 6, 0]","[-4, 5, 1]","[-2, 2, -3]","[-1, -2, -8]","[-3, -2, -2]","[-2, 0, -8]",Position_0
"[-9, 4, 2]","[-3, 14, 10]","[1, 0, 5]","[-2, -2, 5]","[-2, 0, -8]","[1, -13, -7]","[7, -10, -4]","[-1, -4, -4]",Position_0
"[-4, -9, 1]","[-18, -12, -20]","[-10, 6, -8]","[-9, -6, -4]","[-7, 1, -13]","[-11, -3, -20]","[-8, -13, -12]","[-9, -1, -10]",Position_0
"[-19, 5, 0]","[-13, 28, 0]","[2, 9, 6]","[-2, 3, 4]","[-17, 2, -20]","[-15, -21, -21]","[0, -8, -3]","[-3, 0, -5]",Position_0
"[-3, -7, -1]","[-16, -9, -15]","[-8, 4, -6]","[-7, -2, -2]","[-5, 4, -7]","[-12, 0, -23]","[-7, -10, -16]","[-8, 0, -7]",Position_0
"[4, 1, 4]","[13, 6, 14]","[13, 1, 9]","[8, -4, -1]","[-4, 7, -1]","[-1, 0, 0]","[4, 3, -2]","[-3, 7, -4]",Position_0
"[-6, -12, 1]","[-21, -10, -17]","[-12, 2, -8]","[-7, -4, 0]","[-11, 6, -18]","[-12, -3, -33]","[-8, -17, -22]","[-10, -1, -16]",Position_0
"[-1, 10, -6]","[14, 26, 6]","[19, 9, 7]","[6, 5, -1]","[7, 0, -2]","[13, -9, 6]","[18, 0, -2]","[6, 2, -2]",Position_0
"[16, -4, 0]","[13, -15, 8]","[9, -3, -1]","[6, -4, -6]","[8, 3, -7]","[10, 13, -5]","[0, 5, -6]","[6, 3, -2]",Position_0
"[12, -9, 9]","[-1, -28, 7]","[-3, -10, -4]","[0, -8, 1]","[-5, 7, -20]","[-8, 4, -24]","[-11, -4, -7]","[-9, 1, -10]",Position_0
"[3, 14, 14]","[8, 15, 32]","[10, 3, 24]","[7, 6, 10]","[1, -13, 2]","[6, -20, 7]","[6, -16, 3]","[0, -10, 0]",Position_0
"[-5, 2, 9]","[-5, 10, 6]","[-3, -2, 6]","[-2, -3, 10]","[0, 0, -9]","[0, -12, -6]","[3, -7, -1]","[-2, -5, -4]",Position_0
"[-2, 3, 14]","[-1, 6, 24]","[3, -2, 10]","[0, 0, 11]","[-3, -5, 0]","[-2, -12, -6]","[2, -9, 4]","[0, -3, -6]",Position_0
"[8, -4, 2]","[7, -10, 5]","[4, -3, 2]","[4, -2, 0]","[8, 2, 7]","[12, 14, -2]","[4, 3, -6]","[5, 4, -2]",Position_0
"[7, -15, 4]","[-2, -25, -8]","[-8, -9, -6]","[-1, -10, 3]","[-7, 4, -8]","[-10, 2, -22]","[-5, -8, -11]","[-5, -2, -6]",Position_0
