Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
-30,-47,-9,-12,-23,-51,-42,-20,Position_0
7,12,6,1,16,27,4,7,Position_0
-1,34,15,5,23,59,43,22,Position_0
21,49,14,11,27,62,30,21,Position_0
-21,6,19,-4,-23,-46,-11,-16,Position_0
-26,10,14,0,-37,-54,-15,-14,Position_0
-2,-1,-8,-9,-9,-5,2,-2,Position_0
-24,26,18,-1,-26,-41,0,-9,Position_0
-5,-31,-16,-11,-8,-23,-12,-8,Position_0
13,9,-7,4,2,-1,1,-10,Position_0
-26,-11,-5,-12,-4,-13,-8,-1,Position_0
-3,3,0,3,-5,-3,-2,3,Position_0
2,2,-3,0,-1,0,-4,-4,Position_0
-7,14,2,0,2,-8,2,-2,Position_0
5,-7,-13,-3,3,-4,-10,-10,Position_0
1,-35,-9,-2,-24,-48,-38,-29,Position_0
15,47,12,7,6,15,16,3,Position_0
15,10,-5,7,11,10,-3,-2,Position_0
-8,33,34,11,-32,-54,-9,-22,Position_0
-9,-22,-15,-3,-4,-9,-9,-8,Position_0
18,10,1,1,9,15,-7,1,Position_0
8,16,10,4,-2,-4,2,0,Position_0
3,17,8,11,-8,-17,-3,-11,Position_0
13,37,14,3,-5,-7,10,0,Position_0
30,30,13,9,20,26,15,4,Position_0
-5,-2,1,1,2,-6,0,0,Position_0
-10,35,21,0,-8,-5,24,2,Position_0
-3,41,28,11,-23,-39,13,0,Position_0
-3,8,11,4,-2,-8,-1,-4,Position_0
12,23,4,2,-6,5,2,1,Position_0
31,56,18,17,1,1,10,-1,Position_0
28,39,13,8,8,15,3,0,Position_0
10,28,6,7,7,5,7,1,Position_0
13,8,1,-3,11,15,-2,2,Position_0
-8,-18,-10,-6,11,6,-1,1,Position_0
15,71,29,19,19,72,49,24,Position_0
9,24,14,1,6,15,9,13,Position_0
-24,-69,-30,-17,-9,-25,-29,-10,Position_0
-15,-45,-19,-12,-18,-38,-35,-14,Position_0
8,10,8,0,-5,-22,-5,-8,Position_0
-10,15,10,1,0,6,21,4,Position_0
-7,38,26,5,-9,-13,31,6,Position_0
25,39,17,15,2,1,11,-5,Position_0
