Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-7, 6, -6]","[-1, 16, -7]","[8, 6, 4]","[0, 2, 0]","[1, -7, 10]","[3, -7, 10]","[3, -1, 18]","[3, -4, 16]",Position_0
"[-6, 4, 0]","[-2, 9, 2]","[4, 1, 4]","[0, -2, 2]","[0, 0, -5]","[3, -13, 0]","[8, -4, -1]","[-1, -1, 0]",Position_0
"[-6, 4, -10]","[-3, 14, -13]","[0, 9, -6]","[-4, 3, -8]","[2, -2, 2]","[4, -6, 1]","[6, -5, 0]","[0, 0, 0]",Position_0
"[-13, 5, -1]","[-5, 29, 7]","[10, 6, 2]","[-1, 2, 1]","[-9, -2, -7]","[-4, -19, -6]","[7, -5, 2]","[-2, -2, -3]",Position_0
"[1, 12, 13]","[9, 18, 33]","[11, 4, 20]","[5, 8, 12]","[0, -13, 5]","[4, -17, 6]","[8, -14, 6]","[0, -9, 0]",Position_0
"[0, 5, -1]","[5, 10, 8]","[6, 2, 5]","[1, 2, 2]","[-4, -3, 2]","[-3, -2, 5]","[-3, -4, -6]","[-7, -2, 5]",Position_0
"[-3, 3, 2]","[-2, 10, 2]","[2, 2, 0]","[-1, 0, 1]","[-4, 0, -8]","[3, -7, -7]","[4, -4, 0]","[-2, 0, -4]",Position_0
"[5, -14, 11]","[-8, -24, -3]","[-8, -7, -9]","[-4, -9, -1]","[-10, 6, -15]","[-12, 0, -28]","[-9, -10, -10]","[-5, -2, -8]",Position_0
"[8, -3, 8]","[10, -11, 10]","[6, -7, -6]","[7, -3, 0]","[2, 5, -5]","[-3, 1, 1]","[0, 4, -3]","[-2, 0, -8]",Position_0
"[-21, 6, -5]","[-16, 31, -4]","[2, 13, 3]","[-1, 3, 0]","[-14, 1, -14]","[-13, -17, -21]","[-3, -7, -1]","[-7, 0, -1]",Position_0
"[-7, 8, -4]","[-2, 18, 3]","[0, 5, 8]","[-1, 2, 2]","[0, 0, 1]","[-3, -4, 0]","[2, 0, 2]","[-2, -1, 1]",Position_0
"[-5, -2, -4]","[-10, -1, -9]","[-4, 4, 0]","[-4, -2, -4]","[-4, 2, -9]","[-8, 1, -18]","[-3, -4, -6]","[-5, 0, -9]",Position_0
"[5, 10, -18]","[22, 11, -7]","[9, 5, -3]","[2, 4, -13]","[18, -2, 12]","[27, -5, 33]","[24, 6, 17]","[14, 1, 5]",Position_0
"[3, 11, -8]","[20, 23, 12]","[16, 9, 3]","[8, 3, -4]","[8, -2, 4]","[17, -8, 16]","[20, 2, 3]","[11, 4, -1]",Position_0
"[-5, 11, -10]","[7, 30, -5]","[12, 9, -2]","[2, 8, 0]","[8, -13, 26]","[11, -12, 42]","[17, 6, 31]","[14, 0, 18]",Position_0
"[-7, -9, -12]","[-9, 2, -10]","[0, 4, 0]","[-2, -3, 0]","[-2, 3, 0]","[-1, 4, 0]","[-1, -1, -3]","[-2, 2, 5]",Position_0
"[-7, 3, -11]","[-5, 15, -11]","[1, 7, -3]","[-5, 4, -3]","[-1, 0, -3]","[0, -2, 0]","[4, -2, -2]","[6, 0, 0]",Position_0
"[1, -1, 0]","[4, -1, 0]","[1, -1, -3]","[0, -4, 0]","[-1, -1, -5]","[1, 1, -6]","[0, 0, -10]","[-1, 2, -7]",Position_0
"[52, 14, 27]","[77, -6, 82]","[47, -15, 23]","[34, -2, 10]","[14, -6, -6]","[31, -11, 6]","[21, 0, 0]","[8, -1, -6]",Position_0
"[37, 10, 11]","[59, -3, 57]","[35, -13, 12]","[25, -2, 6]","[16, -8, 6]","[33, -7, 24]","[25, 7, 12]","[16, -2, -3]",Position_0
"[1, 7, 2]","[10, 9, 9]","[6, 1, -1]","[4, 1, 2]","[2, 5, 0]","[3, -1, 3]","[6, 1, 0]","[2, 4, -5]",Position_0
"[1, 3, 9]","[1, 3, 9]","[2, -4, 7]","[4, -4, 3]","[-2, 4, -4]","[3, -7, -4]","[5, -4, 0]","[2, 0, -6]",Position_0
"[8, 14, -15]","[28, 25, 5]","[23, 8, 0]","[12, 8, -6]","[23, -18, 23]","[38, -16, 56]","[35, 5, 27]","[26, -6, 14]",Position_0
"[18, -1, 1]","[21, -16, 8]","[5, -5, 0]","[7, 0, 0]","[9, 4, 0]","[11, 8, 3]","[3, 1, -4]","[3, 3, -4]",Position_0
"[-7, 10, -17]","[7, 30, -4]","[9, 9, 0]","[2, 9, -8]","[10, -13, 18]","[15, -11, 44]","[20, 4, 30]","[14, 0, 19]",Position_0
"[-5, 1, 12]","[-6, 6, 9]","[3, 0, 10]","[0, 0, 9]","[0, 3, -16]","[-1, -4, -11]","[1, -8, -12]","[-1, 0, -11]",Position_0
"[4, 3, 9]","[9, 4, 14]","[9, -4, 6]","[6, 0, 8]","[2, 3, -4]","[10, 0, -3]","[7, 1, -2]","[4, 3, -7]",Position_0
